Year,Genre,Platform,Global Sales
2010,Action,PS3,0.51
2010,Action,PS3,0.57
2010,Action,PS3,0.7
2010,Action,PS3,1.09
2010,Action,PS3,1.12
2010,Action,PS3,1.11
2010,Action,PS3,1.15
2010,Action,PS3,1.55
2010,Action,PS3,1.37
2010,Action,PS3,1.38
2010,Action,PS3,1.52
2011,Action,PS3,0.02
2011,Action,PS3,0.01
2011,Action,PS3,0.04
2011,Action,PS3,0.06
2011,Action,PS3,0.09
2011,Action,PS3,0.1
2011,Action,PS3,0.14
2011,Action,PS3,0.15
2011,Action,PS3,0.18
2011,Action,PS3,0.22
2011,Action,PS3,0.22
2011,Action,PS3,0.33
2011,Action,PS3,0.04
2011,Action,PS3,0.06
2011,Action,PS3,0.07
2011,Action,PS3,0.09
2011,Action,PS3,0.09
2011,Action,PS3,0.09
2011,Action,PS3,0.2
2011,Action,PS3,0.62
2011,Action,PS3,0.1
2011,Action,PS3,0.15
2011,Action,PS3,0.19
2011,Action,PS3,0.27
2011,Action,PS3,0.17
2011,Action,PS3,0.2
2011,Action,PS3,0.21
2011,Action,PS3,0.23
2011,Action,PS3,0.25
2011,Action,PS3,0.12
2011,Action,PS3,0.17
2011,Action,PS3,0.29
2011,Action,PS3,0.33
2011,Action,PS3,0.23
2011,Action,PS3,0.19
2011,Action,PS3,0.26
2011,Action,PS3,0.28
2011,Action,PS3,0.29
2011,Action,PS3,0.33
2011,Action,PS3,0.34
2011,Action,PS3,0.27
2011,Action,PS3,0.56
2011,Action,PS3,0.92
2011,Action,PS3,0.37
2011,Action,PS3,0.74
2011,Action,PS3,0.63
2011,Action,PS3,0.84
2011,Action,PS3,0.95
2011,Action,PS3,0.99
2011,Action,PS3,0.94
2011,Action,PS3,1.2
2011,Action,PS3,1.3
2012,Action,PS3,0.02
2012,Action,PS3,0.02
2012,Action,PS3,0.02
2012,Action,PS3,0.02
2012,Action,PS3,0.03
2012,Action,PS3,0.03
2012,Action,PS3,0.03
2012,Action,PS3,0.03
2012,Action,PS3,0.06
2012,Action,PS3,0.1
2012,Action,PS3,0.11
2012,Action,PS3,0.14
2012,Action,PS3,0.14
2012,Action,PS3,0.21
2012,Action,PS3,0.26
2012,Action,PS3,0.59
2012,Action,PS3,0.03
2012,Action,PS3,0.1
2012,Action,PS3,0.16
2012,Action,PS3,0.21
2012,Action,PS3,0.29
2012,Action,PS3,0.33
2012,Action,PS3,0.41
2012,Action,PS3,0.29
2012,Action,PS3,0.31
2012,Action,PS3,0.34
2012,Action,PS3,0.41
2012,Action,PS3,0.44
2012,Action,PS3,0.78
2012,Action,PS3,0.87
2012,Action,PS3,0.47
2012,Action,PS3,0.82
2012,Action,PS3,0.41
2012,Action,PS3,0.5
2012,Action,PS3,0.73
2012,Action,PS3,0.67
2012,Action,PS3,1.2
2012,Action,PS3,0.84
2012,Action,PS3,1.18
2012,Action,PS3,0.75
2012,Action,PS3,1.05
2012,Action,PS3,0.83
2012,Action,PS3,0.86
2012,Action,PS3,0.96
2012,Action,PS3,0.9
2012,Action,PS3,0.7
2012,Action,PS3,1.06
2012,Action,PS3,1.22
2012,Action,PS3,1.1
2012,Action,PS3,1.09
2012,Action,PS3,1.55
2012,Action,PS3,1.39
2012,Action,PS3,1.46
2013,Action,PS3,0.03
2013,Action,PS3,0.03
2013,Action,PS3,0.03
2013,Action,PS3,0.19
2013,Action,PS3,0.23
2013,Action,PS3,0.26
2013,Action,PS3,0.02
2013,Action,PS3,0.05
2013,Action,PS3,0.09
2013,Action,PS3,0.05
2013,Action,PS3,0.11
2013,Action,PS3,0.16
2013,Action,PS3,0.98
2013,Action,PS3,0.22
2013,Action,PS3,0.22
2013,Action,PS3,0.26
2013,Action,PS3,0.61
2013,Action,PS3,0.35
2013,Action,PS3,0.49
2013,Action,PS3,0.69
2013,Action,PS3,0.47
2013,Action,PS3,0.44
2013,Action,PS3,0.62
2013,Action,PS3,0.82
2013,Action,PS3,0.8
2013,Action,PS3,1
2013,Action,PS3,1
2013,Action,PS3,0.98
2013,Action,PS3,1.47
2013,Action,PS3,1.3
2014,Action,PS3,0.02
2014,Action,PS3,0.01
2014,Action,PS3,0.07
2014,Action,PS3,0.09
2014,Action,PS3,0.1
2014,Action,PS3,0.12
2014,Action,PS3,0.14
2014,Action,PS3,0.26
2014,Action,PS3,0.26
2014,Action,PS3,0.27
2014,Action,PS3,0.08
2014,Action,PS3,0.12
2014,Action,PS3,0.1
2014,Action,PS3,0.13
2014,Action,PS3,0.15
2014,Action,PS3,0.22
2014,Action,PS3,0.29
2014,Action,PS3,0.3
2014,Action,PS3,0.62
2014,Action,PS3,0.4
2014,Action,PS3,0.54
2014,Action,PS3,0.64
2014,Action,PS3,0.69
2014,Action,PS3,0.81
2014,Action,PS3,0.92
2014,Action,PS3,1.02
2014,Action,PS3,1.01
2014,Action,PS3,1.37
2015,Action,PS3,0.02
2015,Action,PS3,0.02
2015,Action,PS3,0.03
2015,Action,PS3,0.01
2015,Action,PS3,0.02
2015,Action,PS3,0.02
2015,Action,PS3,0.02
2015,Action,PS3,0.02
2015,Action,PS3,0.02
2015,Action,PS3,0.02
2015,Action,PS3,0.02
2015,Action,PS3,0.02
2015,Action,PS3,0.02
2015,Action,PS3,0.03
2015,Action,PS3,0.03
2015,Action,PS3,0.04
2015,Action,PS3,0.04
2015,Action,PS3,0.05
2015,Action,PS3,0.06
2015,Action,PS3,0.09
2015,Action,PS3,0.11
2015,Action,PS3,0.15
2015,Action,PS3,0.15
2015,Action,PS3,0.25
2015,Action,PS3,0.49
2015,Action,PS3,0.04
2015,Action,PS3,0.07
2015,Action,PS3,0.29
2015,Action,PS3,0.1
2015,Action,PS3,0.11
2015,Action,PS3,0.32
2015,Action,PS3,0.39
2015,Action,PS3,0.47
2015,Action,PS3,0.7
2015,Action,PS3,0.54
2015,Action,PS3,0.93
2016,Action,PS3,0.03
2016,Action,PS3,0.02
2016,Action,PS3,0.02
2016,Action,PS3,0.02
2016,Action,PS3,0.04
2016,Action,PS3,0.06
2016,Action,PS3,0.13
2016,Action,PS3,0.05
2016,Action,PS3,0.12
2016,Action,PS3,0.16
2016,Action,PS3,0.32
2013,Action,PS4,1.56
2014,Action,PS4,0.15
2014,Action,PS4,0.04
2014,Action,PS4,0.08
2014,Action,PS4,0.06
2014,Action,PS4,0.11
2014,Action,PS4,0.18
2014,Action,PS4,0.15
2014,Action,PS4,0.18
2014,Action,PS4,0.24
2014,Action,PS4,0.21
2014,Action,PS4,0.24
2014,Action,PS4,0.3
2014,Action,PS4,0.32
2014,Action,PS4,0.43
2014,Action,PS4,0.43
2014,Action,PS4,0.55
2014,Action,PS4,0.6
2014,Action,PS4,0.6
2014,Action,PS4,0.67
2014,Action,PS4,0.68
2014,Action,PS4,0.92
2014,Action,PS4,0.84
2014,Action,PS4,1.28
2014,Action,PS4,1.41
2015,Action,PS4,0.02
2015,Action,PS4,0.03
2015,Action,PS4,0.02
2015,Action,PS4,0.02
2015,Action,PS4,0.02
2015,Action,PS4,0.05
2015,Action,PS4,0.06
2015,Action,PS4,0.08
2015,Action,PS4,0.09
2015,Action,PS4,0.1
2015,Action,PS4,0.17
2015,Action,PS4,0.03
2015,Action,PS4,0.07
2015,Action,PS4,0.06
2015,Action,PS4,0.04
2015,Action,PS4,0.06
2015,Action,PS4,0.05
2015,Action,PS4,0.09
2015,Action,PS4,0.09
2015,Action,PS4,0.08
2015,Action,PS4,0.13
2015,Action,PS4,0.09
2015,Action,PS4,0.11
2015,Action,PS4,0.12
2015,Action,PS4,0.14
2015,Action,PS4,0.17
2015,Action,PS4,0.16
2015,Action,PS4,0.17
2015,Action,PS4,0.22
2015,Action,PS4,0.22
2015,Action,PS4,0.3
2015,Action,PS4,0.28
2015,Action,PS4,0.3
2015,Action,PS4,0.45
2015,Action,PS4,0.37
2015,Action,PS4,0.42
2015,Action,PS4,0.38
2015,Action,PS4,0.71
2015,Action,PS4,0.54
2015,Action,PS4,0.51
2015,Action,PS4,0.64
2015,Action,PS4,0.63
2015,Action,PS4,0.68
2015,Action,PS4,0.89
2015,Action,PS4,1.11
2015,Action,PS4,1.66
2016,Action,PS4,0.01
2016,Action,PS4,0.02
2016,Action,PS4,0.01
2016,Action,PS4,0.02
2016,Action,PS4,0.02
2016,Action,PS4,0.02
2016,Action,PS4,0.02
2016,Action,PS4,0.02
2016,Action,PS4,0.01
2016,Action,PS4,0.01
2016,Action,PS4,0.01
2016,Action,PS4,0.01
2016,Action,PS4,0.01
2016,Action,PS4,0.02
2016,Action,PS4,0.03
2016,Action,PS4,0.03
2016,Action,PS4,0.05
2016,Action,PS4,0.08
2016,Action,PS4,0.09
2016,Action,PS4,0.28
2016,Action,PS4,0.03
2016,Action,PS4,0.06
2016,Action,PS4,0.07
2016,Action,PS4,0.04
2016,Action,PS4,0.05
2016,Action,PS4,0.08
2016,Action,PS4,0.12
2016,Action,PS4,0.12
2016,Action,PS4,0.2
2016,Action,PS4,0.19
2016,Action,PS4,0.32
2016,Action,PS4,0.36
2016,Action,PS4,0.54
2016,Action,PS4,0.64
2016,Action,PS4,0.84
2016,Action,PS4,1.6
,Adventure,PS,0.04
,Adventure,PS,0.16
1994,Adventure,PS,0.06
1995,Adventure,PS,0.01
1995,Adventure,PS,0.02
1995,Adventure,PS,0.03
1995,Adventure,PS,0.03
1995,Adventure,PS,0.07
1995,Adventure,PS,0.11
1996,Adventure,PS,0.02
1996,Adventure,PS,0.02
1996,Adventure,PS,0.05
1996,Adventure,PS,0.05
1996,Adventure,PS,0.15
1996,Adventure,PS,0.21
1996,Adventure,PS,0.31
1996,Adventure,PS,0.53
1996,Adventure,PS,0.83
1997,Adventure,PS,0.06
1997,Adventure,PS,0.1
1997,Adventure,PS,0.12
1997,Adventure,PS,0.12
1997,Adventure,PS,0.15
1997,Adventure,PS,0.18
1997,Adventure,PS,0.32
1997,Adventure,PS,0.83
1998,Adventure,PS,0.03
1998,Adventure,PS,0.07
1998,Adventure,PS,0.11
1998,Adventure,PS,0.14
1998,Adventure,PS,0.12
1998,Adventure,PS,0.11
1998,Adventure,PS,0.12
1998,Adventure,PS,0.17
1998,Adventure,PS,0.21
1998,Adventure,PS,0.37
1998,Adventure,PS,0.6
1999,Adventure,PS,0.04
1999,Adventure,PS,0.05
1999,Adventure,PS,0.03
1999,Adventure,PS,0.14
1999,Adventure,PS,0.15
1999,Adventure,PS,0.11
1999,Adventure,PS,0.14
1999,Adventure,PS,0.17
1999,Adventure,PS,0.42
1999,Adventure,PS,0.52
1999,Adventure,PS,1.31
1999,Adventure,PS,1.18
1999,Adventure,PS,1.74
2000,Adventure,PS,0.03
2000,Adventure,PS,0.06
2000,Adventure,PS,0.13
2000,Adventure,PS,0.17
2000,Adventure,PS,0.21
2000,Adventure,PS,0.27
2000,Adventure,PS,0.42
2000,Adventure,PS,0.4
2000,Adventure,PS,0.65
2001,Adventure,PS,0.04
2001,Adventure,PS,0.05
2001,Adventure,PS,0.12
2001,Adventure,PS,0.11
2001,Adventure,PS,0.13
2001,Adventure,PS,0.18
2002,Adventure,PS,0.02
2002,Adventure,PS,0.07
2000,Adventure,PS2,0.06
2000,Adventure,PS2,0.09
2001,Adventure,PS2,0.07
2001,Adventure,PS2,0.1
2001,Adventure,PS2,0.17
2001,Adventure,PS2,0.21
2001,Adventure,PS2,0.55
2002,Adventure,PS2,0.03
2002,Adventure,PS2,0.02
2002,Adventure,PS2,0.02
2002,Adventure,PS2,0.02
2002,Adventure,PS2,0.03
2002,Adventure,PS2,0.08
2002,Adventure,PS2,0.36
2002,Adventure,PS2,0.41
2002,Adventure,PS2,0.05
2002,Adventure,PS2,0.07
2002,Adventure,PS2,0.29
2002,Adventure,PS2,0.12
2002,Adventure,PS2,0.14
2002,Adventure,PS2,0.14
2002,Adventure,PS2,0.16
2002,Adventure,PS2,0.22
2002,Adventure,PS2,0.26
2002,Adventure,PS2,0.33
2002,Adventure,PS2,0.28
2002,Adventure,PS2,0.32
2002,Adventure,PS2,0.44
2003,Adventure,PS2,0.07
2003,Adventure,PS2,0.16
2003,Adventure,PS2,0.18
2003,Adventure,PS2,0.33
2003,Adventure,PS2,0.42
2004,Adventure,PS2,0.02
2004,Adventure,PS2,0.04
2004,Adventure,PS2,0.05
2004,Adventure,PS2,0.04
2004,Adventure,PS2,0.07
2004,Adventure,PS2,0.13
2004,Adventure,PS2,0.12
2004,Adventure,PS2,0.14
2004,Adventure,PS2,0.16
2004,Adventure,PS2,0.23
2004,Adventure,PS2,0.34
2004,Adventure,PS2,0.34
2005,Adventure,PS2,0.04
2005,Adventure,PS2,0.08
2005,Adventure,PS2,0.12
2005,Adventure,PS2,0.12
2005,Adventure,PS2,0.15
2005,Adventure,PS2,0.16
2005,Adventure,PS2,0.24
2005,Adventure,PS2,0.3
2005,Adventure,PS2,0.35
2005,Adventure,PS2,0.41
2006,Adventure,PS2,0.02
2006,Adventure,PS2,0.01
2006,Adventure,PS2,0.01
2006,Adventure,PS2,0.01
2006,Adventure,PS2,0.01
2006,Adventure,PS2,0.01
2006,Adventure,PS2,0.01
2006,Adventure,PS2,0.02
2006,Adventure,PS2,0.02
2006,Adventure,PS2,0.02
2006,Adventure,PS2,0.02
2006,Adventure,PS2,0.02
2006,Adventure,PS2,0.02
2006,Adventure,PS2,0.02
2006,Adventure,PS2,0.02
2006,Adventure,PS2,0.02
2006,Adventure,PS2,0.02
2006,Adventure,PS2,0.03
2006,Adventure,PS2,0.03
2006,Adventure,PS2,0.03
2006,Adventure,PS2,0.03
2006,Adventure,PS2,0.03
2006,Adventure,PS2,0.04
2006,Adventure,PS2,0.04
2006,Adventure,PS2,0.04
2006,Adventure,PS2,0.04
2006,Adventure,PS2,0.04
2006,Adventure,PS2,0.05
2006,Adventure,PS2,0.06
2006,Adventure,PS2,0.07
2006,Adventure,PS2,0.07
2006,Adventure,PS2,0.11
2006,Adventure,PS2,0.16
2006,Adventure,PS2,0.14
2006,Adventure,PS2,0.25
2006,Adventure,PS2,0.3
2006,Adventure,PS2,1.22
2006,Adventure,PS2,1.09
2007,Adventure,PS2,0.01
2007,Adventure,PS2,0.01
2007,Adventure,PS2,0.01
2007,Adventure,PS2,0.01
2007,Adventure,PS2,0.01
2007,Adventure,PS2,0.01
2007,Adventure,PS2,0.01
2007,Adventure,PS2,0.02
2007,Adventure,PS2,0.02
2007,Adventure,PS2,0.02
2007,Adventure,PS2,0.02
2007,Adventure,PS2,0.02
2007,Adventure,PS2,0.02
2007,Adventure,PS2,0.02
2007,Adventure,PS2,0.02
2007,Adventure,PS2,0.02
2007,Adventure,PS2,0.02
2007,Adventure,PS2,0.02
2007,Adventure,PS2,0.02
2007,Adventure,PS2,0.03
2007,Adventure,PS2,0.03
2007,Adventure,PS2,0.05
2007,Adventure,PS2,0.07
2007,Adventure,PS2,0.11
2007,Adventure,PS2,0.17
2007,Adventure,PS2,0.12
2007,Adventure,PS2,0.14
2007,Adventure,PS2,0.23
2007,Adventure,PS2,0.27
2007,Adventure,PS2,0.46
2008,Adventure,PS2,0.01
2008,Adventure,PS2,0.01
2008,Adventure,PS2,0.01
2008,Adventure,PS2,0.01
2008,Adventure,PS2,0.01
2008,Adventure,PS2,0.01
2008,Adventure,PS2,0.01
2008,Adventure,PS2,0.01
2008,Adventure,PS2,0.01
2008,Adventure,PS2,0.01
2008,Adventure,PS2,0.01
2008,Adventure,PS2,0.02
2008,Adventure,PS2,0.02
2008,Adventure,PS2,0.02
2008,Adventure,PS2,0.02
2008,Adventure,PS2,0.02
2008,Adventure,PS2,0.02
2008,Adventure,PS2,0.02
2008,Adventure,PS2,0.02
2008,Adventure,PS2,0.02
2008,Adventure,PS2,0.02
2008,Adventure,PS2,0.03
2008,Adventure,PS2,0.03
2008,Adventure,PS2,0.03
2008,Adventure,PS2,0.03
2008,Adventure,PS2,0.03
2008,Adventure,PS2,0.04
2008,Adventure,PS2,0.04
2008,Adventure,PS2,0.04
2008,Adventure,PS2,0.05
2008,Adventure,PS2,0.06
2008,Adventure,PS2,0.06
2008,Adventure,PS2,0.06
2008,Adventure,PS2,0.07
2008,Adventure,PS2,0.1
2008,Adventure,PS2,0.13
2008,Adventure,PS2,0.06
2008,Adventure,PS2,0.07
2008,Adventure,PS2,0.12
2008,Adventure,PS2,0.25
2008,Adventure,PS2,0.26
2009,Adventure,PS2,0.01
2009,Adventure,PS2,0.01
2009,Adventure,PS2,0.01
2009,Adventure,PS2,0.01
2009,Adventure,PS2,0.01
2009,Adventure,PS2,0.01
2009,Adventure,PS2,0.02
2009,Adventure,PS2,0.02
2009,Adventure,PS2,0.02
2009,Adventure,PS2,0.03
2009,Adventure,PS2,0.03
2009,Adventure,PS2,0.03
2009,Adventure,PS2,0.04
2009,Adventure,PS2,0.05
2009,Adventure,PS2,0.13
2009,Adventure,PS2,0.26
2010,Adventure,PS2,0.01
2010,Adventure,PS2,0.01
2010,Adventure,PS2,0.01
2010,Adventure,PS2,0.02
2010,Adventure,PS2,0.02
2010,Adventure,PS2,0.02
2010,Adventure,PS2,0.02
2010,Adventure,PS2,0.02
2010,Adventure,PS2,0.02
2010,Adventure,PS2,0.03
2010,Adventure,PS2,0.03
2010,Adventure,PS2,0.05
2010,Adventure,PS2,0.07
2011,Adventure,PS2,0.01
2011,Adventure,PS2,0.02
,Adventure,PS3,0.01
,Adventure,PS3,0.02
2007,Adventure,PS3,0.04
2007,Adventure,PS3,0.08
2008,Adventure,PS3,0.04
2008,Adventure,PS3,0.36
2008,Adventure,PS3,0.21
2008,Adventure,PS3,0.14
2008,Adventure,PS3,0.19
2009,Adventure,PS3,0.02
2009,Adventure,PS3,0.1
2009,Adventure,PS3,0.23
2010,Adventure,PS3,0.02
2010,Adventure,PS3,0.05
2010,Adventure,PS3,0.05
2010,Adventure,PS3,0.19
2010,Adventure,PS3,0.29
2011,Adventure,PS3,0.02
2011,Adventure,PS3,0.02
2011,Adventure,PS3,0.03
2011,Adventure,PS3,0.03
2011,Adventure,PS3,0.05
2011,Adventure,PS3,0.11
2011,Adventure,PS3,0.09
2011,Adventure,PS3,0.13
2011,Adventure,PS3,0.11
2011,Adventure,PS3,0.72
2011,Adventure,PS3,0.6
2011,Adventure,PS3,1.35
2012,Adventure,PS3,0.01
2012,Adventure,PS3,0.02
2012,Adventure,PS3,0.02
2012,Adventure,PS3,0.03
2012,Adventure,PS3,0.03
2012,Adventure,PS3,0.04
2012,Adventure,PS3,0.11
2012,Adventure,PS3,0.03
2012,Adventure,PS3,0.08
2012,Adventure,PS3,0.23
2012,Adventure,PS3,0.25
2012,Adventure,PS3,0.26
2012,Adventure,PS3,0.79
2013,Adventure,PS3,0.03
2013,Adventure,PS3,0.02
2013,Adventure,PS3,0.04
2013,Adventure,PS3,0.05
2013,Adventure,PS3,0.06
2013,Adventure,PS3,0.08
2013,Adventure,PS3,0.39
2014,Adventure,PS3,0.01
2014,Adventure,PS3,0.02
2014,Adventure,PS3,0.02
2014,Adventure,PS3,0.02
2014,Adventure,PS3,0.03
2014,Adventure,PS3,0.04
2014,Adventure,PS3,0.08
2014,Adventure,PS3,0.1
2014,Adventure,PS3,0.11
2014,Adventure,PS3,0.13
2014,Adventure,PS3,0.22
2014,Adventure,PS3,0.27
2015,Adventure,PS3,0.02
2015,Adventure,PS3,0.01
2015,Adventure,PS3,0.02
2015,Adventure,PS3,0.03
2015,Adventure,PS3,0.05
2015,Adventure,PS3,0.06
2015,Adventure,PS3,0.69
2016,Adventure,PS3,0.01
2016,Adventure,PS3,0.12
2014,Adventure,PS4,0.21
2014,Adventure,PS4,0.24
2014,Adventure,PS4,0.27
2014,Adventure,PS4,0.45
2015,Adventure,PS4,0.01
2015,Adventure,PS4,0.05
2015,Adventure,PS4,0.06
2015,Adventure,PS4,0.05
2015,Adventure,PS4,0.07
2015,Adventure,PS4,0.06
2015,Adventure,PS4,0.13
2015,Adventure,PS4,0.17
2015,Adventure,PS4,0.67
2015,Adventure,PS4,1.64
2016,Adventure,PS4,0.03
2016,Adventure,PS4,0.02
2016,Adventure,PS4,0.16
2016,Adventure,PS4,0.04
2016,Adventure,PS4,0.37
1994,Fighting,PS,0.11
1994,Fighting,PS,1.27
1995,Fighting,PS,0.03
1995,Fighting,PS,0.06
1995,Fighting,PS,0.06
1995,Fighting,PS,0.08
1995,Fighting,PS,0.17
1995,Fighting,PS,0.1
1995,Fighting,PS,0.33
1995,Fighting,PS,0.36
1995,Fighting,PS,0.55
1995,Fighting,PS,0.71
1995,Fighting,PS,0.76
1996,Fighting,PS,0.03
1996,Fighting,PS,0.06
1996,Fighting,PS,0.12
1996,Fighting,PS,0.14
1996,Fighting,PS,0.1
1996,Fighting,PS,0.16
1996,Fighting,PS,0.17
1996,Fighting,PS,0.19
1996,Fighting,PS,0.27
1996,Fighting,PS,0.3
1996,Fighting,PS,0.27
1996,Fighting,PS,0.62
1996,Fighting,PS,0.85
1996,Fighting,PS,0.92
1996,Fighting,PS,1.59
1997,Fighting,PS,0.02
1997,Fighting,PS,0.08
1997,Fighting,PS,0.1
1997,Fighting,PS,0.23
1997,Fighting,PS,0.14
1997,Fighting,PS,0.34
1997,Fighting,PS,0.24
1997,Fighting,PS,0.27
1997,Fighting,PS,0.37
1997,Fighting,PS,0.39
1997,Fighting,PS,0.42
1997,Fighting,PS,0.68
1997,Fighting,PS,0.75
1997,Fighting,PS,1.52
1997,Fighting,PS,1.16
1997,Fighting,PS,1.32
1998,Fighting,PS,0.07
1998,Fighting,PS,0.04
1998,Fighting,PS,0.06
1998,Fighting,PS,0.1
1998,Fighting,PS,0.15
1998,Fighting,PS,0.19
1998,Fighting,PS,0.14
1998,Fighting,PS,0.17
1998,Fighting,PS,0.17
1998,Fighting,PS,0.23
1998,Fighting,PS,0.23
1998,Fighting,PS,0.23
1998,Fighting,PS,0.25
1998,Fighting,PS,0.26
1998,Fighting,PS,0.28
1998,Fighting,PS,0.3
1998,Fighting,PS,0.28
1998,Fighting,PS,1.03
1998,Fighting,PS,0.48
1998,Fighting,PS,0.52
1998,Fighting,PS,0.68
1998,Fighting,PS,1.46
1998,Fighting,PS,1.69
1998,Fighting,PS,1.22
1998,Fighting,PS,1.46
1999,Fighting,PS,0.01
1999,Fighting,PS,0.01
1999,Fighting,PS,0.02
1999,Fighting,PS,0.05
1999,Fighting,PS,0.08
1999,Fighting,PS,0.11
1999,Fighting,PS,0.1
1999,Fighting,PS,0.11
1999,Fighting,PS,0.12
1999,Fighting,PS,0.19
1999,Fighting,PS,0.46
1999,Fighting,PS,0.48
1999,Fighting,PS,0.78
1999,Fighting,PS,1.41
2000,Fighting,PS,0.07
2000,Fighting,PS,0.11
2000,Fighting,PS,0.21
2000,Fighting,PS,0.21
2000,Fighting,PS,0.11
2000,Fighting,PS,0.25
2000,Fighting,PS,0.41
2000,Fighting,PS,0.52
2000,Fighting,PS,0.55
2001,Fighting,PS,0.02
2001,Fighting,PS,0.49
2001,Fighting,PS,0.72
2001,Fighting,PS,1.51
2002,Fighting,PS,0.05
2002,Fighting,PS,0.11
2002,Fighting,PS,0.6
,Fighting,PS2,0.03
,Fighting,PS2,0.17
,Fighting,PS2,0.21
2000,Fighting,PS2,0.11
2000,Fighting,PS2,0.2
2000,Fighting,PS2,0.47
2000,Fighting,PS2,0.39
2000,Fighting,PS2,0.85
2000,Fighting,PS2,1
2000,Fighting,PS2,0.81
2001,Fighting,PS2,0.12
2001,Fighting,PS2,0.35
2001,Fighting,PS2,0.75
2001,Fighting,PS2,0.56
2001,Fighting,PS2,0.76
2002,Fighting,PS2,0.04
2002,Fighting,PS2,0.12
2002,Fighting,PS2,0.07
2002,Fighting,PS2,0.1
2002,Fighting,PS2,0.14
2002,Fighting,PS2,0.35
2002,Fighting,PS2,0.26
2002,Fighting,PS2,0.32
2002,Fighting,PS2,0.33
2002,Fighting,PS2,0.47
2002,Fighting,PS2,0.76
2002,Fighting,PS2,0.86
2003,Fighting,PS2,0.04
2003,Fighting,PS2,0.32
2003,Fighting,PS2,0.32
2003,Fighting,PS2,0.63
2003,Fighting,PS2,0.1
2003,Fighting,PS2,0.11
2003,Fighting,PS2,0.09
2003,Fighting,PS2,0.12
2003,Fighting,PS2,0.16
2003,Fighting,PS2,0.3
2003,Fighting,PS2,0.54
2003,Fighting,PS2,0.61
2003,Fighting,PS2,0.6
2003,Fighting,PS2,0.71
2003,Fighting,PS2,0.76
2004,Fighting,PS2,0.01
2004,Fighting,PS2,0.1
2004,Fighting,PS2,0.09
2004,Fighting,PS2,0.22
2004,Fighting,PS2,0.18
2004,Fighting,PS2,0.18
2004,Fighting,PS2,0.2
2004,Fighting,PS2,0.26
2004,Fighting,PS2,0.28
2004,Fighting,PS2,0.3
2004,Fighting,PS2,0.39
2004,Fighting,PS2,0.47
2004,Fighting,PS2,0.57
2004,Fighting,PS2,0.66
2004,Fighting,PS2,1.48
2005,Fighting,PS2,0.02
2005,Fighting,PS2,0.36
2005,Fighting,PS2,0.07
2005,Fighting,PS2,0.08
2005,Fighting,PS2,0.13
2005,Fighting,PS2,0.27
2005,Fighting,PS2,0.33
2005,Fighting,PS2,1.66
2005,Fighting,PS2,1.07
2005,Fighting,PS2,0.44
2005,Fighting,PS2,0.46
2005,Fighting,PS2,0.77
2005,Fighting,PS2,0.87
2006,Fighting,PS2,0.04
2006,Fighting,PS2,0.01
2006,Fighting,PS2,0.02
2006,Fighting,PS2,0.02
2006,Fighting,PS2,0.03
2006,Fighting,PS2,0.04
2006,Fighting,PS2,0.05
2006,Fighting,PS2,0.05
2006,Fighting,PS2,0.08
2006,Fighting,PS2,0.08
2006,Fighting,PS2,0.11
2006,Fighting,PS2,0.15
2006,Fighting,PS2,0.04
2006,Fighting,PS2,0.19
2006,Fighting,PS2,0.37
2006,Fighting,PS2,0.2
2006,Fighting,PS2,0.24
2006,Fighting,PS2,1.56
2006,Fighting,PS2,0.79
2006,Fighting,PS2,0.14
2006,Fighting,PS2,1.06
2007,Fighting,PS2,0.01
2007,Fighting,PS2,0.01
2007,Fighting,PS2,0.01
2007,Fighting,PS2,0.01
2007,Fighting,PS2,0.02
2007,Fighting,PS2,0.02
2007,Fighting,PS2,0.02
2007,Fighting,PS2,0.03
2007,Fighting,PS2,0.04
2007,Fighting,PS2,0.04
2007,Fighting,PS2,0.05
2007,Fighting,PS2,0.06
2007,Fighting,PS2,0.17
2007,Fighting,PS2,0.07
2007,Fighting,PS2,0.16
2007,Fighting,PS2,0.66
2008,Fighting,PS2,0.01
2008,Fighting,PS2,0.03
2008,Fighting,PS2,0.05
2008,Fighting,PS2,0.07
2008,Fighting,PS2,0.14
2008,Fighting,PS2,0.06
2008,Fighting,PS2,0.08
2008,Fighting,PS2,0.12
2008,Fighting,PS2,0.15
2008,Fighting,PS2,0.16
2008,Fighting,PS2,0.36
2008,Fighting,PS2,0.22
2008,Fighting,PS2,1.24
2009,Fighting,PS2,0.03
2009,Fighting,PS2,0.04
2009,Fighting,PS2,0.06
2009,Fighting,PS2,0.11
2009,Fighting,PS2,0.21
2009,Fighting,PS2,0.29
2009,Fighting,PS2,1.07
2010,Fighting,PS2,0.01
2010,Fighting,PS2,0.38
2011,Fighting,PS2,0.11
2006,Fighting,PS3,1.67
2007,Fighting,PS3,1.09
2007,Fighting,PS3,1.33
2008,Fighting,PS3,0.01
2008,Fighting,PS3,0.17
2008,Fighting,PS3,0.41
2008,Fighting,PS3,0.86
2008,Fighting,PS3,0.95
2008,Fighting,PS3,1.08
2008,Fighting,PS3,1.47
2009,Fighting,PS3,0.16
2009,Fighting,PS3,0.58
2009,Fighting,PS3,0.55
2009,Fighting,PS3,0.77
2009,Fighting,PS3,1.18
2009,Fighting,PS3,1.53
2010,Fighting,PS3,0.1
2010,Fighting,PS3,0.41
